Round,WinnerID,LoserID,Scores
Group 2 (A vs. D),fprtm|24592,fprtm|37869,"6,7,3"
Group 1 (A vs. B),fprtm|93810,fprtm|95181,"6,8,7"
Group 10 (A vs. B),fprtm|66985,fprtm|82512,"-8,-9,8,6,7"
Group 9 (A vs. B),fprtm|60432,fprtm|69470,"6,6,3"
Group 8 (A vs. B),fprtm|88172,fprtm|75612,"9,7,2"
Group 7 (A vs. B),fprtm|65333,fprtm|76542,"8,6,6"
Group 6 (A vs. B),fprtm|33416,fprtm|30969,"9,9,7"
Group 5 (A vs. B),fprtm|91959,fprtm|24371,"-7,-6,9,8,2"
Group 4 (A vs. B),fprtm|92240,fprtm|49117,"3,7,7"
Group 3 (A vs. B),fprtm|16175,fprtm|79514,"6,9,-8,-9,7"
Group 11 (A vs. B),fprtm|25014,fprtm|99353,"15,7,9"
Group 2 (A vs. B),fprtm|76540,fprtm|74686,"8,8,9"
Final,fprtm|92240,fprtm|33416,"8,9,3"
Semifinal #2,fprtm|33416,fprtm|65333,"6,-9,8,8"
Semifinal #1,fprtm|92240,fprtm|57447,"4,7,9"
Quarterfinal #4,fprtm|65333,fprtm|76540,"9,-5,6,3"
Quarterfinal #3,fprtm|33416,fprtm|16175,"7,-6,6,8"
Quarterfinal #2,fprtm|92240,fprtm|74686,"9,-11,3,6"
Quarterfinal #1,fprtm|57447,fprtm|60432,"-9,-6,2,5,7"
Round of 16 #8,fprtm|76540,fprtm|24371,"9,5,-7,-7,9"
Round of 16 #7,fprtm|65333,fprtm|21226,"-6,6,5,8"
Round of 16 #6,fprtm|33416,fprtm|25014,"4,1,8"
Round of 16 #5,fprtm|16175,fprtm|69470,"13,-8,-8,10,9"
Round of 16 #4,fprtm|92240,fprtm|79514,"2,6,2"
Round of 16 #3,fprtm|74686,fprtm|91959,"-7,-9,9,8,6"
Round of 16 #2,fprtm|60432,fprtm|49117,"8,6,4"
Round of 16 #1,fprtm|57447,fprtm|76542,"13,13,7"
Round of 32 #10,fprtm|69470,fprtm|57576,"5,8,-7,-7,7"
Round of 32 #9,fprtm|16175,fprtm|98259,"7,11,9"
Round of 32 #8,fprtm|92240,fprtm|97684,"3,4,3"
Round of 32 #7,fprtm|79514,fprtm|66985,"4,4,3"
Round of 32 #6,fprtm|74686,fprtm|65444,"10,8,3"
Round of 32 #5,fprtm|91959,fprtm|30969,"1,8,7"
Round of 32 #4,fprtm|49117,fprtm|88172,"6,-4,4,6"
Round of 32 #3,fprtm|60432,fprtm|72296,"6,8,-10,5"
Round of 32 #16,fprtm|76540,fprtm|86503,"5,7,-6,8"
Round of 32 #15,fprtm|24371,fprtm|75612,"-10,7,-6,10,10"
Round of 32 #14,fprtm|21226,fprtm|82512,"10,4,3"
